|San Diego|US
InContext Design|Concord|US
Indep. Consultant|London|UK
independent scholar|Honolulu|US
Indian Institute of Technology Guwahati|Guwahati|India
Indian Institute of Technology Indore|Indore|India
Indian Institute of Technology Kharagpur|Kharagpur|India
Indian Institute of Technology|Bombay|India
Indiana University Bloomington|Bloomington|US
"Indiana University, Bloomington|Bloomington|US"
Indiana University|Bloomington|US
Indiana-University Purdue University Indianapolis|Indianapolis|US
Indraprastha Institute of Information Technology|Delhi|India
Indraprastha Institute of Information Technology|New Delhi|India
Industrial Systems Institute|Patras|Greece
INESC-ID|Lisbon|Portugal
INESC-TEC|Porto|Portugal
Informatics Institute|Ankara|Turkey
Information Institute|Qingdao|China
Information Processing Institute|Warsaw|Poland
INRIA -  Institut National de Recherche en Informatique et en Automatique|Le Chesnay Cedex|France
INRIA & Univ Paris-Sud|Orsay|France
INRIA Bordeaux Sud-Ouest|Bordeaux|France
INRIA Rennes|Rennes|France
"INRIA, Orsay, France & INRIA Chile|Orsay|France"
INRIA|Bordeaux|France
INRIA|Lille|France
INRIA|Orsay|France
INRIA|Paris|France
INRIA|Rennes|France
INRIA|Saclay|France
INSA de Rennes|Rennes|France
INSA|Rennes|France
Institue of HCI & Multimedia Tsinghua University|Beijing|China
"Institute for Computer Graphics and Vision, Graz University of Technology|Graz|Austria"
Institute for Computer Graphics and Vision|Graz|Austria
Institute for Design and Assessment of Technology|Vienna|Austria
"Institute for Infocomm Research, (A*STAR)|Singapore|Singapore"
Institute for Pervasive Computing|Linz|Austria
Institute of Applied Arts|Hsinchu|Taiwan
Institute of Art & Technology|Vienna|Austria
Institute of Communications Engineering|Ulm|Germany
Institute of Creative Industries design|Tainan|Taiwan
Institute of Education|London|UK
Institute of Human Factors and Ergonomics|Beijing|China
Institute of Psychology and Education|Ulm|Germany
Institution of Human Factors and Ergonomics|Beijing|China
Instituto Politecnico de Castelo Branco|Castelo Branco|Portugal
Intel and Nokia Joint Innovation Center|Oulu|Finland
Intel Collaborative Research Institute for Sustainable Cities|London|UK
Intel Corporation|Folsom|US
Intel Corporation|Hillsboro|US
Intel Corporation|Santa Clara|US
Intel Labs|Hillsboro|US
Intel Labs|Portland|US
Intel|Beijing|China
Intel|Hillsboro|US
Intel|Portland|US
Intel|Santa Clara|US
Interaction design centre|Limerick|Ireland
"Interaction Design LAB, Yonsei University|Seoul|Republic of Korea"
Interaction Foundry|New York|US
Interactive Institute|Gothenburg|Sweden
Interactive Institute|Kista|Sweden
Interactive Institute|Umea|Sweden
Intercultural User Interface Consulting (IUIC)|Undorf|Germany
Interdisciplinary Center (IDC) Herzliya|Herzliya|Israel
"Interface Ecology Lab, Texas A&M University|College Station|US"
Ionian University|Corfu|Greece
Iowa State University|Ames|US
IRCAM|Paris|France
IRISA/INRIA Rennes|Rennes|France
IRISA/INSA de Rennes|Rennes|France
"IRIT, CNRS & University of Toulouse|Toulouse|France"
"IRIT, University Paul Sabatier, Toulouse III|Toulouse|France"
IRIT|Toulouse|France
IT University of Copenhagen|Copenhagen|Denmark
ITB Consulting|Bonn|Germany
Ithaca College|Ithaca|US
ITP|New York|US
ITU|Copenhagen|Denmark
IUPUI|Indianapolis|US
Iwate Prefectural University|Takizawa|Japan
iXora Technologies|Mountain View|US
Jacobs University Bremen|Bremen|Germany
Jadavpur University|Kolkata|India
Japan Advanced Institute of Science and Technology|Ishikawa|Japan
"Japan Science Technology Agency, ERATO, IGARASHI Design UI Project|Tokyo|Japan"
JHT Incorporated|Orlando|US
Joanneum Research|Graz|Austria
Joetsu University of Education|Joetsu|Japan
Joticon Oy|Helsinki|Finland
JST ERATO IGARASHI Design Interface Project|Bunkyo|Japan
"JST, PRESTO|Kawaguchi|Japan"
K.U.Leuven|Leuven|Belgium
KAIST (Korea Advanced Institute of Science and Technology)|Daejeon|Republic of Korea
Kanagawa University|Kanagawa|Japan
Kanker.nl|Amsterdam|The Netherlands
Kansai University|Osaka|Japan
Karolinska Institutet|Stockholm|Sweden
Karolinska University Hospital|Stockholm|Sweden
KDDI Evolva Inc.|Chiyoda-ku|Japan
KDDI R&D Laboratories|Chiyoda-ku|Japan
Keio University Graduate School of Media Design|Tokyo|Japan
Keio University|Fujisawa|Japan
Keio University|Yokohama  City|Japan
"Keio-NUS CUTE Center, Interactive & Digital Media Institute, National University of Singapore|Singapore|Singapore"
Keio-NUS CUTE Center|Singapore|Singapore
Kent State University|Kent|US
King Abdulaziz University|Jeddah|Saudi Arabia
"King's College, London|London|UK"
Kingston University|Kingston Upon Thames|UK
Kingston University|Kingston|Canada
KIST (Korea Institute of Science and Technology)|Seoul|Republic of Korea
"KMD, Keio University|Tokyo|Japan"
Know-Center GmbH|Graz|Austria
Kochi University of Technology|Kami|Japan
Korea Advanced Institute of Science and Technology|Daejeon|Republic of Korea
Korea Institute of Science and Technology|Seoul|Republic of Korea
Korea University|Seoul|Republic of Korea
Korean German Institute of Technology|Seoul|Republic of Korea
KTH - Royal Institute of Technology|Stockholm|Sweden
KTH|Kista|Sweden
KU Leuven - University of Leuven|Leuven|Belgium
Kunming University of Science and Technology|Kunming|China
Kyoto University|Kyoto|Japan
L3S Research Center|Hannover|Germany
LabHuman / I3B / UPV|Valencia|Spain
Lahore University of Management Sciences|Lahore|Pakistan
Lakeside Upper School|Seattle|US
Lancaster University|Lancaster|UK
"Language Technologies Institute, Carnegie Mellon Univeristy|Pittsburgh|US"
Lappeenranta University of Technology|Lappeenranta|Finland
Leads360|El Segundo|US
Learning Research and Development Center|Pittsburgh|US
Leibniz University Hannover|Hannover|Germany
Lextant|Columbus|US
LG Electronics Inc.|Seoul|Republic of Korea
Liaoning Technical University|Huludao|China
"LIFL & INRIA Lille, University of Lille|Villeneuve d'Ascq|France"
LIG|Grenoble|France
LIIHS-IRIT|Toulouse|France
"LIMSI-CNRS, University Paris South|Orsay Cedex|France"
LIMSI-CNRS|Orsay|France
Lingnan University|Tuen Mun|Hong Kong
LinkedIn|Mountain View|US
LIRIS|Lyon|France
"LITA, EA 3097. computer Lab|Metz|France"
Liverpool John Moores University|Liverpool|UK
Living Research Labs Inc.|Seattle|US
Lodz University of Technology|Lodz|Poland
London Knowledge Lab|London|UK
Lorraine University|Metz|France
Loughborough University|Loughborough|UK
Louvain Interaction Laboratory|Louvain La Neuve|Belgium
Luebeck University of Applied Sciences|Luebeck|Germany
"Luminanze Consulting, LLC|Silver Spring|US"
Lund University|Lund|Sweden
Lunghwa University of Science and Technology|Taoyuan|Taiwan
MABL Labs|Seoul|Republic of Korea
MAD-Faculty|Genk|Belgium
Madeira-ITI. University of Madeira|Funchal|Portugal
Makerere University|kampala|Uganda
Manhattan Associates|Atlanta|US
Marist College|Poughkeepsie|US
Marquette University|Milwaukee|US
Massachusetts Institute of Technology|Cambridge|US
Mathakazini Village|Mankosi|South Africa
"MathWorks, Inc|Natick|US"
Max Planck Institute for Human Development|Berlin|Germany
Max Planck Institute for Informatics|Saarbruecken|Germany
McGill University|Montreal|Canada
Measuring Usability LLC|Denver|US
"Medea, Malmo University|Malmo|Sweden"
"Media Informatics Group, University of Munich (LMU)|Munich|Germany"
Media Interaction Lab|Hagenberg|Austria
MediaTel|London|UK
Mega Super Awesome Visuals Company|London|UK
Meguro-ku|Tokyo|Japan
Meiji University|Kawasaki|Japan
Miami University|Oxford|US
Michigan State Univeristy|East Lansing|US
Michigan Technological University|Houghton|US
Microsoft Applied Sciences Group|Redmond|US
Microsoft Corporation|Beijing|China
Microsoft Corporation|Redmond|US
Microsoft Research FUSE Labs|Redmond|US
Microsoft Research India|Bangalore|India
Microsoft Research|Cambridge|UK
Microsoft Research|Hertzelia|Israel
Microsoft Research|Mountain View|US
Microsoft|Sunnyvale|US
Middle East Technical University|Ankara|Turkey
Middle East Technical University|Mersin|Turkey
Middlesex University|London|UK
Miguel Hernandez University of Elche|Elche|Spain
MIND Lab|Syracuse|US
MindJet|San Francisco|US
Mindloom|Berkeley|US
MinkHollow Media Ltd.|Cochrane|Canada
Minnesota State University|Mankato|US
Missouri Western State University|Saint Joseph|US
MIT CSAIL|Cambridge|US
MIT Media Lab|Cambridge|US
"Mixed Reality Lab, University of Nottingham|Nottingham|UK"
Mixed Reality Lab|Singapore|Singapore
Mobiel Life @ Stockholm University|Kista|Sweden
Mobile Life @ SICS|Kista|Sweden
Mobile Life @ Stockholm University|Stockholm|Sweden
Mobile Life Centre @ SICS|Kista|Sweden
Mobile Life|Kista|Sweden
"MobileIron, Inc.|Mountain View|US"
MobileWorks Inc.|Berkeley|US
Modular Projects|Newcastle upon Tyne|UK
monash|Melbourne|Australia
Montana Tech of The University of Montana|Butte|US
Montclair State University|Montclair|US
More Associates|London|UK
"Moscow State Technical University of Radio engineering, Electronics and Automation|Moscow|Russian Federation"
Motorola Mobility Inc.|Libertyville|US
Movinto Fun AB|Are|Sweden
MSU|East Lansing|US
Muenster University of Applied Sciences|Muenster|Germany
Multimedia Engineering|Hsinchu|Taiwan
"MVS - California, LLC|San Jose|US"
Nagoaka University of Technology|Nagaoka|Japan
Nanjing University|Nanjing|China
Nanyang Technological University|Singapore|Singapore
NASA Ames Research Center|Mountain View|US
NASA Johnson Space Center|Houston|US
National Autonomous University of Mexico|Mexico city|Mexico
National Chenchi University|Taipei|Taiwan
National Chiao Tung University|Hsinchu|Taiwan
National Defense Medical Center|Taipei 114|Taiwan
National Endowment for the Humanities|Washington D.C.|US
National Engineering School of Sfax|sfax|Tunisia
National ICT Australia|Sydney|Australia
National Institute of Advanced Industrial Science and Technology|Tsukuba|Japan
National Institute of Design|Bangalore|India
National Institute of Informatics|Tokyo|Japan
National Palace Museum|Taipei|Taiwan
National Research Council Canada|Fredericton|Canada
National Research Council Canada|Moncton|Canada
National Research Council of Canada|Ottawa|Canada
National Research Foundation|Pretoria|South Africa
National Taipei University|Taipei|Taiwan
National Taiwan University Hospital|Taipei|Taiwan
National Taiwan University of Science and Technology|Taipei|Taiwan
National Taiwan University|Taipei|Taiwan
National Tsing Hua University|Hsin Chu|Taiwan
National Tsing Hua University|HsinChu|Taiwan
"National University of Ireland, Galway|Galway|Ireland"
National University of Science and Technology (NUST)|Islamabad|Pakistan
National University of Singapore|Kent Ridge Crescent|Singapore
National University of Singapore|Singapore|Singapore
Naval Research Laboratory|Washington|US
NC State University|Raleigh|US
NCR Corporation|Dundee|UK
NCSU|Raleigh|US
Nelson Mandela Metropolitan University|Port Elizabeth|South Africa
NetEase Research Center (Hangzhou)|Hangzhou|China
New England Wildflower Society|Framingham|US
New University of Lisbon|Almada|Portugal
New York Hall of Science|Corona|US
New York Institute of Technology|New York|US
New York University - Abu Dhabi|Abu Dhabi|United Arab Emirates
New York University|New York City|US
Newcastle University|Newcastle Upon Tyne|UK
"Next Co., Ltd.|Tokyo|Japan"
NHTV Breda University of Applied Sciences|Breda|The Netherlands
NICTA|Sydney|Australia
NiJel.org|Tempe|US
NMSU|Las cruces|US
Nokia Gate5 GmbH|Berlin|Germany
Nokia Research Center|Beijing|China
Nokia Research Center|Espoo|Finland
Nokia Research Center|Helsinki|Finland
Nokia Research Center|Palo Alto|US
Nokia Research Center|Sunnyvale|US
Nokia Research Center|Tampere|Finland
Nokia|Beijing|China
Nokia|Sunnyvale|US
Norsk Regnesentral/Norwegian Computing Center|Oslo|Norway
North Carolina State University|Raleigh|US
North South University|Dhaka|Bangladesh
Northeastern Illinois University|Chicago|US
Northeastern University|Boston|US
Northeastern University|Shenyang|China
Northumbria University|Newcastle upon Tyne|UK
Northwestern University|Chicago|US
Norwegian University of Science and Technology|Trondheim|Norway
Notaplan Aps|Aalborg|Denmark
Nottingham Trent University|Nottingham|UK
NRL|Washington|US
NTT Communication Science Laboratories|Soraku-gun|Japan
NTT Corporation|Yokosuka|Japan
NTT Service Evolution Laboratories|Yokosuka|Japan
NTU|Nottingham|UK
NTU|Singapore|Singapore
Nursing Science|Irvine|US
NUS Graduate School for Integrative Sciences and Engineering (NGS)|Singapore|Singapore
NYU-Poly|New York|US
Ochanomizu University|Bunkyo-ku|Japan
oDesk|Redwood City|US
OFFIS - Institute for Information Technology|Oldenburg|Germany
Ohio State University|Columbus|US
"Oki Electric Industry Co., Ltd.|Warabi|Japan"
Ono Academic College|Kiryat Ono|Israel
Open Science Initiative|Los Angeles|US
Open University of the Netherlands|Heerlen|The Netherlands
Oracle Corporation|Broomfield|US
Oracle Corporation|Burlington|US
Oracle|Burlington|US
Oracle|Cambridge|US
Oracle|Denver|US
Oracle|Redwood City|US
